pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-27 00:16:38+00:00,"Mississippi Supreme Court District 1, Position 3 Runoff Election Results",Get live results and maps from the 2024 Mississippi runoff election.,Get live results and maps from the 2024 Mississippi runoff election.,Get live results and maps from the 2024 Mississippi runoff election.,Graphics,2024-11-27
2024-11-27 00:21:37+00:00,Mississippi Runoff Election Results,Get live results from the 2024 Mississippi runoff elections.,Get live results from the 2024 Mississippi runoff elections.,Get live results from the 2024 Mississippi runoff elections.,Graphics,2024-11-27
2024-11-27 00:43:52+00:00,Car Found in Georgia Pond May Be That of a New York Couple Missing Since 1980,"The Romers, of Scarsdale, N.Y., disappeared from a Georgia hotel. Divers who seek to solve cold cases found a vehicle similar to theirs in a pond. They also found bones.","Charles Romer, a retired oil company executive from Scarsdale, N.Y., and his wife, Catherine, were driving back from their winter home in Florida in the spring of 1980 when they stopped at a Holiday Inn in Georgia.","The Romers, of Scarsdale, N.Y., disappeared from a Georgia hotel. Divers who seek to solve cold cases found a vehicle similar to theirs in a pond. They also found bones.",Express,2024-11-27
2024-11-27 01:32:57+00:00,Trump Selects First-Term Official as Trade Representative,"The lawyer Jamieson Greer is set to be the top U.S. trade negotiator, a crucial position given the president-elect’s threats to impose tariffs on imports from other countries.",Follow the latest updates on President-elect Trump’s transition.,"The lawyer Jamieson Greer is set to be the top U.S. trade negotiator, a crucial position given the president-elect’s threats to impose tariffs on imports from other countries.",Washington,2024-11-27
2024-11-27 01:33:52+00:00,Trump Taps Kevin Hassett to Lead National Economic Council,Mr. Hassett defended Donald Trump’s tax cuts and trade policies in his first administration but has also acknowledged that tariffs can weaken economic growth.,Follow the latest updates on President-elect Trump’s transition.,Mr. Hassett defended Donald Trump’s tax cuts and trade policies in his first administration but has also acknowledged that tariffs can weaken economic growth.,Washington,2024-11-27
2024-11-27 01:59:49+00:00,Quotation of the Day: The Catch,"Quotation of the Day for Wednesday, November 27, 2024.","“It was kind of like bad, bad, bad … unbelievable. Or, oh, no, no, no … great job.”","Quotation of the Day for Wednesday, November 27, 2024.",Summary,2024-11-27
2024-11-27 02:17:17+00:00,Trump Picks Stanford Doctor Who Opposed Lockdowns to Head N.I.H.,"As the director of the National Institutes of Health, Dr. Jay Bhattacharya would oversee the world’s premier medical research agency, with a $48 billion budget and 27 separate institutes and centers.",Follow the latest updates on President-elect Trump’s transition.,"As the director of the National Institutes of Health, Dr. Jay Bhattacharya would oversee the world’s premier medical research agency, with a $48 billion budget and 27 separate institutes and centers.",Washington,2024-11-27
2024-11-27 02:30:02+00:00,"Corrections: Nov. 27, 2024","Corrections that appeared in print on Wednesday, Nov. 27, 2024.","An article on Thursday about a painting by René Magritte selling for over $100 million at auction referred incorrectly to Paolo Vedovi’s relationship to the Vedovi gallery in Brussels. He is the co-founder of the gallery, not the director.","Corrections that appeared in print on Wednesday, Nov. 27, 2024.",Corrections,2024-11-27
2024-11-27 03:00:04+00:00,Hammer’s End,Jill Singer’s triple words score.,Jump to: Today’s Theme | Tricky Clues,Jill Singer’s triple words score.,Games,2024-11-27
2024-11-27 05:00:07+00:00,Meet One of Hong Kong’s Last Remaining Pro-Democracy Activists,"For Chan Po-ying, a labor rights leader, life is one of constant police surveillance, even on hikes. But she finds solace from tiny gestures of support.","When a court in Hong Kong sentenced 45 pro-democracy politicians and activists to prison sentences of up to 10 years, it took down the city’s once-vocal opposition in one fell swoop, making clear the risks of dissent.","For Chan Po-ying, a labor rights leader, life is one of constant police surveillance, even on hikes. But she finds solace from tiny gestures of support.",Foreign,2024-11-27
2024-11-27 05:01:06+00:00,Will Namibia’s Liberation Party Be the Next to Fall in Africa?,"Voters head to the polls on Wednesday in the latest test for one of southern Africa’s liberation parties, which have been rebuked at the ballot box this year.","Voters in southern Africa this year have delivered blow after blow to parties that helped free their countries from colonialism. And on Wednesday, one of those parties, the South West Africa People’s Organization, or SWAPO, in Namibia is expected to face its toughest electoral test ever.","Voters head to the polls on Wednesday in the latest test for one of southern Africa’s liberation parties, which have been rebuked at the ballot box this year.",Foreign,2024-11-27
2024-11-27 05:01:07+00:00,‘Mr. Every Man’: The 50 Others Accused in France’s Mass Rape Trial,"Dominique Pelicot invited men to rape his wife, whom he had drugged. The French media call them “Mr. Every Man” because they come from such ordinary backgrounds.",The last of 50 men to be cross-examined in the rape of a drugged and naked Gisèle Pelicot stood before the judges in a white sweater and jeans.,"Dominique Pelicot invited men to rape his wife, whom he had drugged. The French media call them “Mr. Every Man” because they come from such ordinary backgrounds.",Foreign,2024-11-27
2024-11-27 05:01:14+00:00,Britain’s Emotional Debate Over Assisted Dying,"As lawmakers prepare to vote on legalizing assisted suicide for the terminally ill in England and Wales, an intense public discussion has unfolded.","Sarah Tarlow had a sense that something was wrong as soon as she opened her front door and called out to her bedridden husband upstairs. There was no reply. Instead of the sound of the radio that normally echoed from his room, the house was engulfed in silence.","As lawmakers prepare to vote on legalizing assisted suicide for the terminally ill in England and Wales, an intense public discussion has unfolded.",Foreign,2024-11-27
2024-11-27 05:01:29+00:00,Wednesday Briefing,A cease-fire agreement between Israel and Hezbollah.,"The Israeli cabinet yesterday approved a cease-fire proposal that would stop the fighting between Israel and Hezbollah, the Lebanese militant group. The fighting has displaced over a million Lebanese and tens of thousands of Israelis, killed more than 3,000 Lebanese and 100 Israelis and upended the regional balance of power. See maps that show how the deal will work.",A cease-fire agreement between Israel and Hezbollah.,NYTNow,2024-11-27
2024-11-27 06:00:05+00:00,Ireland Is Rich. That Doesn’t Mean It’s Happy.,There are the same dark subplots here that have made the position of other incumbent governments so precarious.,"Ireland’s current condition might best be described as an embarrassment of riches. A country that was long one of the poorest in Western Europe now has an abundance of public and private wealth and an economy that is open to the world. It has even proved relatively resistant to the temptation of the far right that has proved so appealing elsewhere; perhaps nostalgia for an imagined golden age doesn’t hold much appeal when memories of poverty, mass emigration and the repression imposed by conservative Catholicism are so fresh in the minds of a well-educated, socially liberal population.",There are the same dark subplots here that have made the position of other incumbent governments so precarious.,OpEd,2024-11-27
2024-11-27 07:00:02+00:00,Word of the Day: eminent domain,This term has appeared in 15 articles on NYTimes.com in the past year. Can you use it in a sentence?,"The word eminent domain has appeared in 15 articles on NYTimes.com in the past year, including on Nov. 3 in “A Climate Change Success Story? Look at Hoboken” by Michael Kimmelman:",This term has appeared in 15 articles on NYTimes.com in the past year. Can you use it in a sentence?,Learning,2024-11-27
2024-11-27 07:19:41+00:00,Jimmy Kimmel Doubts Trump’s Grasp of Economics,"Kimmel called the president-elect’s plan to hit Mexico, Canada and China with sweeping tariffs “the dumbest thing he’s come up with since Don Jr.”","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.","Kimmel called the president-elect’s plan to hit Mexico, Canada and China with sweeping tariffs “the dumbest thing he’s come up with since Don Jr.”",Culture,2024-11-27
2024-11-27 08:00:04+00:00,Spelling Bee Forum,Feeling stuck on today’s puzzle? We can help.,"Hi, busy bees! Welcome to today’s Spelling Bee forum. Enter the comments section to see hints, conversation, helpful tips and creative content from other solvers.",Feeling stuck on today’s puzzle? We can help.,Games,2024-11-27
2024-11-27 08:00:06+00:00,Why a Pasture-Raised Thanksgiving Turkey Costs $95,"Humanely raised turkeys are often more expensive because they eat high-quality food, require more space, and take extra time to raise.","The turkeys at Troll Bridge Farm are pasture-raised, and Lisa Skillman, who runs the farm with her husband and four of their six children, said she works hard to keep the birds as natural as possible. Their beaks aren’t cut and their toes aren’t clipped, practices often used on farms owned by large corporations.","Humanely raised turkeys are often more expensive because they eat high-quality food, require more space, and take extra time to raise.",Metro,2024-11-27
2024-11-27 08:00:10+00:00,"Escape From New York? For Thanksgiving, You Have to Have a Plan.",Getting to any of the airports that serve New York City can take too long or cost too much. Devising a way to ease the journey is its own holiday ritual.,"Every year around this time, thousands of New Yorkers engage in an intricate Thanksgiving ritual that involves advanced calculations, complex analytics, risk-assessment and strategic thinking.",Getting to any of the airports that serve New York City can take too long or cost too much. Devising a way to ease the journey is its own holiday ritual.,Metro,2024-11-27
2024-11-27 08:00:11+00:00,"On Big Pharma, Food and Agriculture, These Are Kennedy’s Unexpected Bedfellows","When it comes to weeding out corporate influence, Robert F. Kennedy Jr.’s ideas often align best with some of Trump’s loudest critics.","There is no denying the bromance between President-elect Donald J. Trump and Robert F. Kennedy Jr., two men with famously big egos and a desire to expose what they view as a corrupt federal bureaucracy.","When it comes to weeding out corporate influence, Robert F. Kennedy Jr.’s ideas often align best with some of Trump’s loudest critics.",Science,2024-11-27
2024-11-27 08:00:14+00:00,Travel Day,"Tell us a story, real or made up, that is inspired by this image.","Use your imagination to write the opening of a short story or poem inspired by this photo, or describe a memory from your own life that this image makes you think of.","Tell us a story, real or made up, that is inspired by this image.",Learning,2024-11-27
2024-11-27 08:00:15+00:00,The Sidewalk Fruit Vendor Who Sold a $6.2 Million Banana for 25 Cents,A 74-year-old immigrant who works outside Sotheby’s shares a basement in the Bronx and works 12-hour shifts. He was stunned to hear what his banana went for at auction.,"At the fruit stand where he works on Manhattan’s Upper East Side, Shah Alam sells dozens of bananas a day at 35 cents a piece, or four for a dollar. He does a brisk business in cheap fruit outside Sotheby’s auction house; inside, art can sell for millions.",A 74-year-old immigrant who works outside Sotheby’s shares a basement in the Bronx and works 12-hour shifts. He was stunned to hear what his banana went for at auction.,Metro,2024-11-27
2024-11-27 08:14:41+00:00,Record November Snowfall Hits Seoul,The first snowfall of the season grounded flights and triggered a weather warning throughout the South Korean capital.,The first snowfall of the season grounded flights and triggered a weather warning throughout the South Korean capital.,The first snowfall of the season grounded flights and triggered a weather warning throughout the South Korean capital.,,2024-11-27
2024-11-27 08:21:27+00:00,Volkswagen to Exit China’s Xinjiang Region After 12 Years,"The automaker has long been criticized by human rights activists for doing business in the territory, where China has repressed Muslim ethnic groups.","Volkswagen said on Wednesday that it was disposing of its ownership stakes in facilities in northwestern China’s Xinjiang region, exiting an area now known for the country’s crackdown on predominantly Muslim ethnic groups there.","The automaker has long been criticized by human rights activists for doing business in the territory, where China has repressed Muslim ethnic groups.",Business,2024-11-27
