pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-14 00:21:09+00:00,Haiti: ‘It’s Not Back to Where We Started — It’s Worse’,"The country’s security situation has deteriorated even further since Monday when at least three planes were shot at, forcing the closure of its main airport.",Haitian gang leaders took to social media last weekend and promised trouble.,"The country’s security situation has deteriorated even further since Monday when at least three planes were shot at, forcing the closure of its main airport.",Foreign,2024-11-14
2024-11-14 00:22:00+00:00,Amazon Is Phasing Out Its Freevee Streaming Service,"Its shows have moved to Amazon Prime, where they will remain free.","Amazon is folding Freevee, its ad-supported streaming service, into Prime Video, where its shows will remain free to viewers who don’t subscribe to Prime.","Its shows have moved to Amazon Prime, where they will remain free.",Express,2024-11-14
2024-11-14 00:50:38+00:00,"Matt Gaetz, a Bomb-Thrower for the Justice Department",President-elect Donald Trump’s pick to be attorney general has set a new bar for in-your-face nominations.,"In selecting Representative Matt Gaetz to be his attorney general, President-elect Donald J. Trump has chosen an undisguised attack dog to preside over the Department of Justice.",President-elect Donald Trump’s pick to be attorney general has set a new bar for in-your-face nominations.,Washington,2024-11-14
2024-11-14 01:18:23+00:00,"Gaetz, Gabbard and Hegseth: Trump’s Picks Are a Show of Force",President-elect Donald J. Trump’s cabinet picks show that he prizes loyalty over experience and is fueled by retribution.,See the latest on Trump’s cabinet and staff picks as he transitions into the White House.,President-elect Donald J. Trump’s cabinet picks show that he prizes loyalty over experience and is fueled by retribution.,Washington,2024-11-14
2024-11-14 02:04:15+00:00,Proud Boys Leader Convicted of Sedition for Role in Jan. 6 Attack Asks Trump for Pardon,"Other high-ranking members of the extremist organization have signaled they intend to seek pardons, too.","A leader of the Proud Boys who was convicted last year of seditious conspiracy for his role in the storming of the Capitol on Jan. 6, 2021, on Wednesday asked President-elect Donald J. Trump for a pardon.","Other high-ranking members of the extremist organization have signaled they intend to seek pardons, too.",Washington,2024-11-14
2024-11-14 02:07:01+00:00,Suicide Bomber in Brazil’s Capital Rattles Nation Ahead of Global Summit,Police officials say two blasts near Brazil’s Supreme Court on Wednesday night are being treated as terrorist acts by a lone suicide bomber.,"The explosions that shook Brazil’s capital on Wednesday evening and prompted an evacuation were an act of terrorism by a lone attacker who sought to violently disrupt democracy, police officials said on Thursday.",Police officials say two blasts near Brazil’s Supreme Court on Wednesday night are being treated as terrorist acts by a lone suicide bomber.,Foreign,2024-11-14
2024-11-14 02:12:27+00:00,Matt Gaetz Resigns From Congress After Trump Picks Him for Attorney General,The Florida Republican’s departure effectively ends the House Ethics Committee’s investigation of allegations that include sexual misconduct and illicit drug use.,"Representative Matt Gaetz, the hard-right Republican provocateur, resigned from Congress on Wednesday after being tapped by President-elect Donald J. Trump to be the attorney general, effectively ending a House investigation into allegations he engaged in sexual misconduct and illicit drug use.",The Florida Republican’s departure effectively ends the House Ethics Committee’s investigation of allegations that include sexual misconduct and illicit drug use.,Washington,2024-11-14
2024-11-14 02:25:43+00:00,Giuliani’s Lawyers Ask to Withdraw as Counsel in Defamation Case,"The lawyers, Kenneth Caruso and David Labkowski, cited unspecified professional ethics issues.","Rudolph W. Giuliani’s lawyers asked a federal judge on Wednesday for permission to withdraw as his counsel, citing unspecified professional ethics issues related to Mr. Giuliani’s turning over assets to two women he defamed in 2020.","The lawyers, Kenneth Caruso and David Labkowski, cited unspecified professional ethics issues.",Washington,2024-11-14
2024-11-14 02:45:02+00:00,"Corrections: Nov. 14, 2024","Corrections that appeared in print on Thursday, Nov. 14, 2024.","An article on Oct. 24 about the impact of a drug trial on volunteers who were vulnerable to brain injuries included a description of a data analysis by a group of leading researchers, newly posted online, which suggested that patients taking Leqembi and an earlier drug, Aduhelm, had a higher mortality rate than untreated patients of a similar age in the United States. The Times removed references to the analysis after it was withdrawn amid objections from several of its authors that it had been posted prematurely, given the limitations of the data.","Corrections that appeared in print on Thursday, Nov. 14, 2024.",Corrections,2024-11-14
2024-11-14 02:46:28+00:00,F.B.I. Searches Home of Founder of Polymarket Betting Website,"The search involving Shayne Coplan, the founder of Polymarket, known for its presidential election odds, was part of a criminal investigation, three people said.","The F.B.I. carried out a search on Wednesday morning at the New York City home of Shayne Coplan, the founder of the betting website Polymarket, three people with knowledge of the matter said.","The search involving Shayne Coplan, the founder of Polymarket, known for its presidential election odds, was part of a criminal investigation, three people said.",Business,2024-11-14
2024-11-14 03:00:08+00:00,Make Some Noise,Matthew Faiella makes his New York Times Crossword debut. I sincerely hope he comes back.,Jump to: Today’s Theme | Tricky Clues,Matthew Faiella makes his New York Times Crossword debut. I sincerely hope he comes back.,Games,2024-11-14
2024-11-14 03:32:41+00:00,"Republicans Win Control of House, Cementing a G.O.P. Trifecta Under Trump","The party protected vulnerable incumbents and picked off Democrats in competitive districts, handing the president-elect a unified Congress to enact his agenda.","Republicans cemented their control of the House on Wednesday after holding onto a handful of critical seats in Arizona and California and defeating incumbent Democrats in key battleground districts, handing the G.O.P. a governing trifecta in Washington to enact President-elect Donald J. Trump’s agenda.","The party protected vulnerable incumbents and picked off Democrats in competitive districts, handing the president-elect a unified Congress to enact his agenda.",Washington,2024-11-14
2024-11-14 03:35:46+00:00,House Ethics Panel Was Set to Vote to Release Report Critical of Matt Gaetz,"The committee has been investigating allegations that Mr. Gaetz, President-elect Donald J. Trump’s pick for attorney general, engaged in sexual misconduct and illicit drug use.","The House Ethics Committee, which has been investigating allegations that Representative Matt Gaetz engaged in sexual misconduct and illicit drug use, was prepared to vote to release a highly critical report about Mr. Gaetz on Friday, according to a Republican official familiar with the matter. The release would have come two days after President-elect Donald J. Trump selected Mr. Gaetz to be attorney general.","The committee has been investigating allegations that Mr. Gaetz, President-elect Donald J. Trump’s pick for attorney general, engaged in sexual misconduct and illicit drug use.",Washington,2024-11-14
2024-11-14 03:42:30+00:00,Republicans Ran a Dysfunctional House. Voters Shrugged and Re-elected Them.,The success of the G.O.P. push to keep the majority suggests that it paid no political price for the chaos and paralysis of its past two years in control of the House.,"A historically long and divisive fight to choose one speaker. A near default on the federal debt, followed by a mutiny on the House floor and multiple government shutdown scares. The ouster of the speaker, followed by weeks of paralysis and another vicious fight over who should lead next.",The success of the G.O.P. push to keep the majority suggests that it paid no political price for the chaos and paralysis of its past two years in control of the House.,Washington,2024-11-14
2024-11-14 04:31:47+00:00,Trump Plans to Install His Book Publisher as Head of Personnel,"Sergio Gor, who has helped run the publishing company that produces the president-elect’s books, has been tapped to run the presidential personnel office, people briefed on the matter said.","Sergio Gor, an ally of President-elect Donald J. Trump and who has helped run the publishing company that produces his books, has been tapped to run the presidential personnel office in his administration, according to four people briefed on the matter.","Sergio Gor, who has helped run the publishing company that produces the president-elect’s books, has been tapped to run the presidential personnel office, people briefed on the matter said.",Washington,2024-11-14
2024-11-14 04:53:44+00:00,Explosions Go Off Near Brazil’s Government Offices,"Emergency responders worked to extinguish fires, as bomb squads swept the area.","Emergency responders worked to extinguish fires, as bomb squads swept the area.","Emergency responders worked to extinguish fires, as bomb squads swept the area.",,2024-11-14
2024-11-14 04:59:00+00:00,Quote of the Day: New York City Council Passes Bill to Transfer Fee Loathed by Renters,"Quotation of the Day for Thursday, November 14, 2024","“The bill has the right intention, but sometimes good intentions do not get the results you’re looking for.”","Quotation of the Day for Thursday, November 14, 2024",Summary,2024-11-14
2024-11-14 05:01:09+00:00,A Big Climate Goal Is Getting Farther Out of Reach,A new report forecasts global temperature increases well above the level that world leaders have pledged to avoid.,"Countries have made scant progress in curbing their greenhouse gas emissions over the past year, keeping the planet on track for dangerous levels of warming this century, according to a new report published Thursday.",A new report forecasts global temperature increases well above the level that world leaders have pledged to avoid.,Climate,2024-11-14
2024-11-14 05:02:25+00:00,China’s Latest Livestream Sensation: Shopping With a Game of Chance,Selling products on livestream video has been a big business in China for years. The latest e-commerce trend adds a game of chance to the mix and leaves many addicted.,Selling products on livestream video has been a big business in China for years. The latest e-commerce trend adds a game of chance to the mix and leaves many addicted.,Selling products on livestream video has been a big business in China for years. The latest e-commerce trend adds a game of chance to the mix and leaves many addicted.,World,2024-11-14
