pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-24 00:00:35+00:00,Owners of Colorado Funeral Home Admit to Abusing Nearly 200 Corpses,Jon and Carie Hallford pleaded guilty to corpse abuse after dozens of decaying bodies were found at their funeral home.,"A couple who owned a funeral home at two locations in Colorado pleaded guilty on Friday to multiple counts of corpse abuse, more than a year after 191 bodies were found decaying at their businesses in a horrific scene, the authorities said.",Jon and Carie Hallford pleaded guilty to corpse abuse after dozens of decaying bodies were found at their funeral home.,Express,2024-11-24
2024-11-24 00:57:55+00:00,Trump’s Choices for Health Agencies Suggest a Shake-Up Is Coming,The picks to oversee public health have all pushed back against Covid policies or supported ideas that are outside the medical mainstream.,A longtime leader of the anti-vaccine movement. A highly credentialed surgeon. A seven-term Florida congressman. A Fox News contributor with her own line of vitamins.,The picks to oversee public health have all pushed back against Covid policies or supported ideas that are outside the medical mainstream.,Science,2024-11-24
2024-11-24 02:30:02+00:00,"Corrections: Nov. 24, 2024","Corrections that appeared in print on Sunday, Nov. 24, 2024.","An article this weekend on Page 10 about late-night host Johnny Carson incorrectly quoted part of a line from a famous Johnny Carson quip. The joke goes, “Half the marriages end in divorce — and then there are the unhappy ones,” not “and then there are the happy ones.”","Corrections that appeared in print on Sunday, Nov. 24, 2024.",Corrections,2024-11-24
2024-11-24 03:20:17+00:00,"Fred R. Harris, Oklahoma Senator Who Ran for President, Dies at 94","After eight years in the Senate as a moderate Democrat, he took a leftward turn toward “new populism” in a failed shot at the presidency in 1976.","Fred R. Harris, a maverick Oklahoma Democrat who served eight years in the Senate and who lost a race for his party’s 1976 presidential nomination in a populist campaign that challenged politics as usual and proposed radical changes for America, died on Saturday in Albuquerque. He was 94.","After eight years in the Senate as a moderate Democrat, he took a leftward turn toward “new populism” in a failed shot at the presidency in 1976.",Obits,2024-11-24
2024-11-24 05:01:15+00:00,"Tortured, Burned, Put to Death. Their Crime? ‘Sorcery.’",Tragedies in Papua New Guinea are often followed by accusations of sorcery and unspeakable acts of violence. That cycle has become more brutal in recent years.,"The men came wielding bush knives. They wanted to avenge a baby girl, who had died the night before. They said she had been killed by a sorcerer’s black magic, and accused a woman who had encountered the baby that morning.",Tragedies in Papua New Guinea are often followed by accusations of sorcery and unspeakable acts of violence. That cycle has become more brutal in recent years.,Foreign,2024-11-24
2024-11-24 05:01:44+00:00,A Corruption Case That Spilled Across Latin America Is Coming Undone,"Operation Car Wash, which started in Brazil, revealed a bribery scheme that spanned at least 12 countries. Brazil’s Supreme Court has reversed much of its impact.",One of the largest corruption crackdowns in recent history is being quietly wiped away.,"Operation Car Wash, which started in Brazil, revealed a bribery scheme that spanned at least 12 countries. Brazil’s Supreme Court has reversed much of its impact.",Foreign,2024-11-24
2024-11-24 05:02:13+00:00,What Two Acclaimed Female-Directed Movies Say About Indian Cinema,“Laapataa Ladies” and “All We Imagine as Light” have both captivated audiences at home. But only one was able to get India’s nod for the best foreign film Oscar.,One is a deft comedy about the misadventures of two young brides in rural India. The other is a delicate tale about the intersecting lives of three women in cosmopolitan Mumbai.,“Laapataa Ladies” and “All We Imagine as Light” have both captivated audiences at home. But only one was able to get India’s nod for the best foreign film Oscar.,Foreign,2024-11-24
2024-11-24 05:02:45+00:00,"Taking a Second Look at the Lives of Troubled Girls, a Decade Later","When they were teens, these girls were sent to a school for juvenile delinquents. Our journalists experienced the rare privilege of telling their stories twice.","I remember the first day that the photographer Ruth Fremson and I met the Lady Jaguars, a misfit basketball team of troubled teens in West Tennessee. It was winter, 13 years ago. The girls, ages 13 to 17, were tossed together because a juvenile-court judge sentenced them to a strict day school called Carroll Academy. They never came close to winning games.","When they were teens, these girls were sent to a school for juvenile delinquents. Our journalists experienced the rare privilege of telling their stories twice.",Magazine,2024-11-24
2024-11-24 05:02:47+00:00,"Quote of the Day: Bathing in Oil Might Seem Crude Near a Climate Summit, but Locals Swear by It","Quotation of the Day for Sunday, November 24, 2024.","“The resin itself is a bit toxic. But for skin problems, the resin really helps.”","Quotation of the Day for Sunday, November 24, 2024.",Summary,2024-11-24
2024-11-24 05:02:49+00:00,What Ever Happened to the Lady Jaguars?,"When we met them a dozen years ago, they were teenagers in trouble, playing for a basketball team that always lost. Did they find a way to win at life?","Her name is Hannah. When I met her more than a decade ago, she was a wide-eyed and curious seventh grader with church-pew manners. She was chatty and clingy, a dreamer with a trusting heart. She played with dolls and sang in a choir. She wanted to be a veterinarian and live in a mansion.","When we met them a dozen years ago, they were teenagers in trouble, playing for a basketball team that always lost. Did they find a way to win at life?",National,2024-11-24
