pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-01 00:46:06+00:00,Vance Tells Rogan: Teens Become Trans to Get Into Ivy League,"Appearing on Joe Rogan’s podcast, Senator JD Vance also said that liberal women celebrate their abortions and that Donald Trump would win the “normal gay guy vote.”","Senator JD Vance of Ohio criticized what he called “gender transition craziness,” spoke dismissively of women he claimed were “celebrating” their abortions and said that studies “connect testosterone levels in young men with conservative politics” during a three-hour episode of “The Joe Rogan Experience” that was released on Thursday.","Appearing on Joe Rogan’s podcast, Senator JD Vance also said that liberal women celebrate their abortions and that Donald Trump would win the “normal gay guy vote.”",Politics,2024-11-01
2024-11-01 01:30:02+00:00,"Corrections: Nov. 1, 2024","Corrections that appeared in print on Friday, Nov. 1, 2024.","An obituary on Sunday about Phil Lesh, the longtime bassist of the Grateful Dead, referred incorrectly to hepatitis C, which he contracted at one point. It is a viral infection; it is not caused by alcohol abuse.","Corrections that appeared in print on Friday, Nov. 1, 2024.",Corrections,2024-11-01
2024-11-01 01:39:01+00:00,Man Who Killed Hundreds of Eagles and Hawks Gets Nearly 4 Years in Prison,"Travis John Branson was part of a conspiracy that killed 3,600 birds, prosecutors said. He also trafficked and sold bird parts on the black market.","A Washington man who killed hundreds of eagles and hawks in Montana that he later helped traffic and sell on the black market was sentenced to nearly four years in prison on Thursday, prosecutors said.","Travis John Branson was part of a conspiracy that killed 3,600 birds, prosecutors said. He also trafficked and sold bird parts on the black market.",Express,2024-11-01
2024-11-01 02:00:08+00:00,Packed Like Sardines,Spencer Leach opens our solving weekend.,Jump to: Tricky Clues,Spencer Leach opens our solving weekend.,Games,2024-11-01
2024-11-01 02:10:46+00:00,How Heidi Klum Transformed Into E.T. for Halloween,The model and television host dressed as the alien from Steven Spielberg’s 1982 film for her annual New York City costume party.,"This Halloween, Heidi Klum is wearing an adult diaper.",The model and television host dressed as the alien from Steven Spielberg’s 1982 film for her annual New York City costume party.,Styles,2024-11-01
2024-11-01 02:53:15+00:00,Elite School Will Provide Counselors for Students Distressed by Election,"Attendance on Wednesday, or whatever day the results are announced, is optional for high school students at the Ethical Culture Fieldston School in New York City, families were told.","One of New York City’s elite private schools told families on Thursday that “students who feel too emotionally distressed” the day after Election Day will be excused from classes, and that psychologists will be available during the week to provide counseling.","Attendance on Wednesday, or whatever day the results are announced, is optional for high school students at the Ethical Culture Fieldston School in New York City, families were told.",Metro,2024-11-01
2024-11-01 04:00:11+00:00,Why Germany’s Resistance to an Italian Bank Takeover Is Raising Eyebrows,"Despite an openness to cross-border mergers, Germany has pushed back against talk of the Italian lender UniCredit’s acquiring Commerzbank.","Germans are eager to sell hundreds of billions of euros’ worth of goods in Italy, while drinking its wines, skiing its Alps and sunning on its beaches.","Despite an openness to cross-border mergers, Germany has pushed back against talk of the Italian lender UniCredit’s acquiring Commerzbank.",Business,2024-11-01
2024-11-01 04:00:24+00:00,A Relationship Built on Music and Laughter,"“We make each other laugh every day,” Jeffrey Grossman said of his bond with Karl Hinze, whom he met in 2009.","When Jeffrey Adam Grossman and Karl Joseph Hinze messaged each other on the dating site OkCupid in May 2009, Mr. Grossman had reservations about Mr. Hinze’s age. “I was 26, and he was 20, which seemed slightly scandalous,” Mr. Grossman said. “I decided to keep talking to him because we had both answered what seemed like hundreds of questions, and the site promised that we would be a great romantic match.”","“We make each other laugh every day,” Jeffrey Grossman said of his bond with Karl Hinze, whom he met in 2009.",Styles,2024-11-01
2024-11-01 04:00:26+00:00,Can Quake-Prone Japan Ever Embrace Nuclear Energy Again?,"The government, its makeup in flux after the governing party lost seats this week, will soon need to make decisions that will shape Japan’s future nuclear policy.","A decade after one of the most devastating atomic-energy disasters in history, Japan was finally getting closer to reviving nuclear power.","The government, its makeup in flux after the governing party lost seats this week, will soon need to make decisions that will shape Japan’s future nuclear policy.",Business,2024-11-01
2024-11-01 04:00:35+00:00,They Realized They Were Singing the Same Tune,"When the opera singers Nicholas Martorano and Elizabeth Novella first met, they knew something was meant to be.","In Nicholas Vincent Martorano’s eyes, he and Elizabeth Wheatley Novella were destined to meet each other.","When the opera singers Nicholas Martorano and Elizabeth Novella first met, they knew something was meant to be.",Styles,2024-11-01
2024-11-01 04:00:50+00:00,Did He ‘Put Something in My Shrimp Fried Rice’? Maybe a Love Potion.,Darian Aaron wasn’t looking for anything serious when he downloaded Tinder four years ago. Then he met Marcus Gresham.,"Months before he met Marcus Rafeal Donte Gresham on Tinder in November 2020, Darian Lamon Aaron got behind the wheel of his Toyota Camry and cried from Miami to Atlanta.",Darian Aaron wasn’t looking for anything serious when he downloaded Tinder four years ago. Then he met Marcus Gresham.,Styles,2024-11-01
2024-11-01 04:01:03+00:00,When Eve and Eve Bit the Apple,"In this essay from 2016, a writer struggles to reconcile her love for a woman with being “a good Christian girl.”","In celebration of Modern Love’s 20th anniversary last month, we published a special package of articles about the column’s history and impact. To learn about the origin of Modern Love, read about seven ways to love better, see how the longtime illustrator creates his images, and much more, go to nytimes.com/modernlove. In this space, as each week’s Modern Love column, we are republishing four “classic” essays from earlier years that especially moved us.","In this essay from 2016, a writer struggles to reconcile her love for a woman with being “a good Christian girl.”",Styles,2024-11-01
2024-11-01 04:01:03+00:00,They Love John Fluevog Shoes So Much They Married at One of His Stores,"Amber Walker and Ron Dutt held a surprise wedding during the “Flummunity Fest,” a fan-driven gathering for admirers of the designer.","The day before her wedding, Amber Dawne Walker perched on the teal velvet couch upstairs at the flagship John Fluevog shoe store in Vancouver, British Columbia, clutching the hand of her fiancé, Ron Amar Dutt. “This is just like my dream,” she said.","Amber Walker and Ron Dutt held a surprise wedding during the “Flummunity Fest,” a fan-driven gathering for admirers of the designer.",Styles,2024-11-01
2024-11-01 04:01:05+00:00,Quote of the Day: Billionaires Make Bets on Control,"Quotation of the Day for Friday, November 1, 2024.","“If you want to protect your business interests, cowardice is a rational thing.”","Quotation of the Day for Friday, November 1, 2024.",Summary,2024-11-01
