pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-29 00:00:04+00:00,The Moral Challenge of Trumpism,Trumpism represents an alternative value system. The people I regard as upright and admirable MAGA regards as morally disgraceful.,"I admire Mitt Romney. He is, by all accounts, an outstanding husband and father. He built a successful investment firm by supporting successful young businesses like Staples. He served the public as head of the 2002 Winter Olympics and as a governor. As a senator, he had the courage to vote to convict Donald Trump twice, in the two separate impeachment trials, when few other Republicans did.",Trumpism represents an alternative value system. The people I regard as upright and admirable MAGA regards as morally disgraceful.,OpEd,2024-11-29
2024-11-29 00:53:34+00:00,Canada Accuses Google of Creating an Ad Tech Monopoly,The case largely echoes an antitrust action in the United States and seeks to force Google to sell off sections of its online ad business.,"Canada’s competition authority on Thursday accused Google of abusing its tools for buying and selling online advertising to create a monopoly, and filed a complaint seeking to force the company to sell two of its main advertising technology services.",The case largely echoes an antitrust action in the United States and seeks to force Google to sell off sections of its online ad business.,Foreign,2024-11-29
2024-11-29 01:37:38+00:00,Why Mexico Is Eliminating Independent Watchdog Agencies,A vote in the country’s Senate has cleared the way to abolish seven independent organizations that provided oversight on issues such as public information and price fixing.,"Mexico’s Senate on Thursday night passed a sweeping proposal to dissolve several government-financed yet independent watchdog organizations, a move the president and her supporters said would help reduce corruption and waste. Critics have called it a step backward for transparency and regulation.",A vote in the country’s Senate has cleared the way to abolish seven independent organizations that provided oversight on issues such as public information and price fixing.,Foreign,2024-11-29
2024-11-29 01:42:15+00:00,"Art Collector Who Bought a $6 Million Banana Offers to Buy 100,000 More","The vendor who sold the banana received only a quarter for the fruit. The buyer of the conceptual work has offered his stand a bigger payday, but logistical problems may be in the way.","A week after a Chinese cryptocurrency entrepreneur bought an artwork composed of a fresh banana stuck to a wall with duct tape for $6.2 million at auction, the man, Justin Sun, announced a grand gesture on X. He said he planned on purchasing 100,000 bananas — or $25,000 worth of the produce — from the Manhattan stand where the original fruit was sold for 25 cents.","The vendor who sold the banana received only a quarter for the fruit. The buyer of the conceptual work has offered his stand a bigger payday, but logistical problems may be in the way.",Metro,2024-11-29
2024-11-29 03:00:03+00:00,Down for a Ski Trip,"Willa Angel Chen Miller makes her New York Times Crossword debut, in a collaboration with Matthew Stock.",Jump to: Tricky Clues,"Willa Angel Chen Miller makes her New York Times Crossword debut, in a collaboration with Matthew Stock.",Games,2024-11-29
2024-11-29 04:41:25+00:00,This Beloved Ginger Ale Is Made With a Dozen Ingredients,"Plus: a California hot spring retreat, an exhibition of Dorothea Rockburne’s artwork and more recommendations from T Magazine.","The Danish brand Vipp was founded in 1939 with a single design: a waste bin. In the decades since, its product line has expanded to include a full furniture range, lighting and home accessories. In 2014, Vipp opened its first guesthouse, a contemporary prefab cabin near Lake Immeln, in southern Sweden. It now runs nine vacation rentals in Europe and, as of today, is taking reservations for its first in North America, a five-bedroom home in Todos Santos on the Pacific Coast of Mexico’s Baja California peninsula. Sofie Christensen Egelund, the third generation co-owner of Vipp, was introduced to the region by the Mexico City-based architect Pablo Pérez Palacios, who’s behind the property’s design. The 3,800-square-foot home has a rooftop pool and open interiors that highlight natural materials: The walls are made of rammed earth, while window shutters are woven from branches of the local Palo de Arco tree. Furnishings include some of Vipp’s own pieces as well as the brand’s signature kitchen, a modular system with minimalist hardware. Pérez Palacios sees the final space as “an ongoing dialogue between Mexican and Danish design sensibilities.” From $2,500 a night, vipp.com.","Plus: a California hot spring retreat, an exhibition of Dorothea Rockburne’s artwork and more recommendations from T Magazine.",TStyle,2024-11-29
2024-11-29 04:59:00+00:00,"Quote of the Day: Georgia Winemakers, Long Tied to Russia, Drift Toward West","Quotation of the Day for Friday, November 29, 2024.","“We are not simply selling wine, we are selling our culture.”","Quotation of the Day for Friday, November 29, 2024.",Summary,2024-11-29
2024-11-29 05:00:05+00:00,"Four Decades Later, a Yearbook Prediction Comes to Fruition","Andrew Gottlieb had a crush on his good friend Steuart Osha. When they reconnected years later, things finally turned romantic.","In 1984, Andrew Gottlieb penned a note so long that it covered two pages of Elizabeth Alexandra Steuart Osha’s high school yearbook. In it, he matter-of-factly stated that they would one day get married. Four decades later his prediction came true.","Andrew Gottlieb had a crush on his good friend Steuart Osha. When they reconnected years later, things finally turned romantic.",Styles,2024-11-29
2024-11-29 05:00:10+00:00,A Union That Was Meant to Be,"The parents of Dr. Hilary Gallin and Joshua Brodie were trying to set them up for months. Little did they know, the couple had already connected.","When Dr. Hilary Gallin and Joshua Robert Brodie connected on Bumble in January 2023, they quickly realized their parents had been trying to set them up on a date for months.","The parents of Dr. Hilary Gallin and Joshua Brodie were trying to set them up for months. Little did they know, the couple had already connected.",Styles,2024-11-29
2024-11-29 05:00:11+00:00,A Breakup Was Just the Beginning of Their Story,"When Amaiya Davis and Matthew Wynter’s relationship ended abruptly, Ms. Davis blamed it on a cosmic shift, but she never lost hope. “I think part of me always knew we would get back together,” she said.","Amaiya Briani Davis thinks she was in the grips of the woolly astrological stage known as “Saturn return” in the spring of 2018. “It’s this period before you turn 30 when a lot of change happens,” she said.","When Amaiya Davis and Matthew Wynter’s relationship ended abruptly, Ms. Davis blamed it on a cosmic shift, but she never lost hope. “I think part of me always knew we would get back together,” she said.",Styles,2024-11-29
