pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-06 00:00:08+00:00,To Whom It May Concern,Some tips for whoever ends up winning.,"Dear President-elect ­­­­­__________,",Some tips for whoever ends up winning.,OpEd,2024-11-06
2024-11-06 00:01:13+00:00,You May Not Be Able to Outrun a Vampire Bat,Scientists put the bloodsucking mammals on a treadmill to understand how they get the energy to chase down their next meal.,"With gargoyle-like faces, razor-sharp fangs and an insatiable thirst for blood, vampire bats are nightmare fuel. And that’s before they start running.",Scientists put the bloodsucking mammals on a treadmill to understand how they get the energy to chase down their next meal.,Science,2024-11-06
2024-11-06 00:22:04+00:00,What to Know About Yoav Gallant,The Israeli defense minister was fired by Prime Minister Benjamin Netanyahu after the two clashed over the course of Israel’s war in the Gaza Strip.,"Prime Minister Benjamin Netanyahu of Israel fired Yoav Gallant, his powerful and popular defense minister, on Tuesday, after the two clashed over the course of Israel’s war against Hamas in the Gaza Strip.",The Israeli defense minister was fired by Prime Minister Benjamin Netanyahu after the two clashed over the course of Israel’s war in the Gaza Strip.,Foreign,2024-11-06
2024-11-06 00:33:30+00:00,"Justice Wins Election in West Virginia, Giving Republicans a Senate Edge","The G.O.P. governor easily won the seat being vacated by Senator Joe Manchin III, an independent who caucused with Democrats, giving Republicans an expected win as they push to take the Senate.","Jim Justice, the popular Republican governor of West Virginia, has easily won election to the Senate, according to The Associated Press, in a widely predicted victory that helped shift control of the chamber closer to the G.O.P.","The G.O.P. governor easily won the seat being vacated by Senator Joe Manchin III, an independent who caucused with Democrats, giving Republicans an expected win as they push to take the Senate.",Washington,2024-11-06
2024-11-06 00:39:02+00:00,Mexico’s Top Court Dismisses Proposal to Invalidate Contentious Judicial Overhaul,The move spares the country’s new president from having to choose between recognizing a court decision to strike down the overhaul or aligning with her party’s leaders and ignoring it.,"Mexico’s Supreme Court on Tuesday dismissed a proposal that would have struck down core parts of a recent overhaul of the country’s courts system, effectively ending any contest against a redesign of the judiciary in which nearly all judges must now be elected instead of appointed.",The move spares the country’s new president from having to choose between recognizing a court decision to strike down the overhaul or aligning with her party’s leaders and ignoring it.,Foreign,2024-11-06
2024-11-06 00:41:58+00:00,"Tyka Nelson, Sister of Prince Who Carved Her Own Path, Dies at 64","Out from under an imposing shadow, she recorded four albums as a singer and had two R&B hits before turning her focus to her brother’s legacy.","Tyka Nelson, who was once called “the most famous unknown singer” as she followed her brother, Prince, into a four-album recording career, and who helped promote his legacy after his death in 2016, died on Monday in Robbinsdale, Minn. She was 64.","Out from under an imposing shadow, she recorded four albums as a singer and had two R&B hits before turning her focus to her brother’s legacy.",Obits,2024-11-06
2024-11-06 00:55:54+00:00,"Black Voters Weigh Character, Policies and Politics at the Polls","Polling last month suggested that while the vast majority of Black voters supported Kamala Harris, she was on track to receive less support from Black men than President Biden did four years ago.","Rudy Cash, a 19-year-old food server, voted in a presidential election for the first time on Tuesday.","Polling last month suggested that while the vast majority of Black voters supported Kamala Harris, she was on track to receive less support from Black men than President Biden did four years ago.",National,2024-11-06
2024-11-06 01:02:31+00:00,Andy Kim Wins in New Jersey to Become the First Korean American Senator,"Mr. Kim, a Democrat, will take the seat previously held by Robert Menendez, who resigned after being convicted of taking bribes.","Representative Andy Kim was elected on Tuesday to the U.S. Senate by a decisive margin, according to The Associated Press, after a tumultuous campaign that grew out of a corruption scandal that engulfed New Jersey’s former senator, Robert Menendez, a once-powerful Democrat.","Mr. Kim, a Democrat, will take the seat previously held by Robert Menendez, who resigned after being convicted of taking bribes.",Metro,2024-11-06
2024-11-06 01:02:57+00:00,Live Presidential Forecast,Follow real-time estimates from The New York Times of the outcome in the race between Kamala Harris and Donald J. Trump.,Follow real-time estimates from The New York Times of the outcome in the race between Kamala Harris and Donald J. Trump.,Follow real-time estimates from The New York Times of the outcome in the race between Kamala Harris and Donald J. Trump.,Graphics,2024-11-06
2024-11-06 01:35:49+00:00,Trump Is the First Republican Presidential Candidate to Win Miami-Dade County Since 1988,"Florida has transformed from a battleground state into one that votes reliably Republican. The county, a former Democratic stronghold, has followed the trend.","Former President Donald J. Trump won Miami-Dade County, Fla., on Tuesday, unofficial election results show, solidifying the remarkable blue-to-red swing of the state’s most populous county.","Florida has transformed from a battleground state into one that votes reliably Republican. The county, a former Democratic stronghold, has followed the trend.",National,2024-11-06
