pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-25 00:59:52+00:00,Washington Curtails Intel’s Chip Grant After Company Stumbles,"The Biden administration is reducing its award to the chip maker, partly to account for a multibillion-dollar military contract.","The Biden administration plans to reduce Intel’s preliminary $8.5 billion federal CHIPS grant, a move that follows the California-based company’s investment delays and broader business struggles.","The Biden administration is reducing its award to the chip maker, partly to account for a multibillion-dollar military contract.",Washington,2024-11-25
2024-11-25 01:00:03+00:00,The Official Unofficial Record,How do you count almost 12 million votes if you’re not the government?,On This Week’s Episode:,How do you count almost 12 million votes if you’re not the government?,Podcasts,2024-11-25
2024-11-25 02:30:01+00:00,"No Corrections: Nov. 25, 2024","No corrections appeared in print on Monday, Nov. 25, 2024.","Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions.","No corrections appeared in print on Monday, Nov. 25, 2024.",Corrections,2024-11-25
2024-11-25 02:43:40+00:00,Uruguay’s Center Left Reclaims Power in Presidential Election,"After a campaign notable for the amiable tone from both sides, Yamandú Orsi was named the winner.","MONTEVIDEO, Uruguay — A onetime mayor and history teacher defeated the candidate of the conservative coalition that has governed Uruguay for the past five years to win his country’s presidency on Sunday.","After a campaign notable for the amiable tone from both sides, Yamandú Orsi was named the winner.",Foreign,2024-11-25
2024-11-25 03:00:06+00:00,"‘Dune: Prophecy’ Season 1, Episode 2 Recap: The Agony","Valya has shown that she is clearly willing to sacrifice whatever, and whomever, it takes to accomplish her goal.","Desmond Hart is an anomaly. He is alive after a sandworm attack that should have left him in the belly of the beast. He knows of the Sisterhood’s secret plan to play puppet master with the universe’s rulers as their marionettes. He can burn people to death using only his mind, apparently from light years away. He can resist the Voice, with which Mother Superior Valya Harkonnen has subdued even other powerful members of her own Sisterhood.","Valya has shown that she is clearly willing to sacrifice whatever, and whomever, it takes to accomplish her goal.",Culture,2024-11-25
2024-11-25 04:59:00+00:00,Quotation of the Day: The Jets and Giants Take Different Routes Toward Rock Bottom,"Quotation of the Day for Monday, November 25, 2024","“I had a feeling this year might not go very well, and now it’s like I’m a NASCAR fan waiting to see the wreck.”","Quotation of the Day for Monday, November 25, 2024",Summary,2024-11-25
2024-11-25 05:10:56+00:00,Monday Briefing,Reaching a climate deal.,"Negotiators at this year’s U.N. climate summit, known as COP29, struck an agreement early yesterday to help developing countries adopt cleaner energy and cope with the effects of climate change. Under the deal, wealthy nations pledged to reach $300 billion per year in support by 2035, increased from the current target of $100 billion.",Reaching a climate deal.,NYTNow,2024-11-25
2024-11-25 06:00:08+00:00,Don’t Let Donald Trump Drive You Into Internal Exile,Focusing on your own life and disengaging from politics can be appealing. But it is a abdication of responsibility.,"Since Donald Trump’s victory, I have not been able to stop thinking about Vladimir Putin’s return to the Russian presidency in 2012 — another time in which an exhausted populace found itself unclear on what to do next.",Focusing on your own life and disengaging from politics can be appealing. But it is a abdication of responsibility.,OpEd,2024-11-25
2024-11-25 06:00:10+00:00,"Your Thanksgiving Day Watching Lineup, Plus 6 Things to Watch on TV This Week","Watch the Macy’s Day Parade, the dog show and football while the turkey is cooking, and catch up on true crime and two new shows.","Whether you’re big on cooking, big on eating or big on avoiding Thanksgiving altogether, one of the best parts of the holiday is that there are endless options on TV throughout the day.","Watch the Macy’s Day Parade, the dog show and football while the turkey is cooking, and catch up on true crime and two new shows.",Culture,2024-11-25
2024-11-25 06:28:49+00:00,"DHL Cargo Plane Crashes Near Airport in Lithuania, Killing 1","The crash near Vilnius Airport sparked a fire in a residential area, officials said. One person on board was killed and three others were hospitalized.","A DHL cargo plane crashed in a residential area near Vilnius Airport in Lithuania, killing one person on board and setting a house ablaze, officials said.","The crash near Vilnius Airport sparked a fire in a residential area, officials said. One person on board was killed and three others were hospitalized.",Foreign,2024-11-25
