pub_date,headline,abstract,lead_paragraph,snippet,news_desk,date
2024-11-28 00:02:28+00:00,"Jim Abrahams, 80, Dies; a Mastermind of ‘Airplane!’ and ‘Naked Gun’","Along with his fellow filmmakers David and Jerry Zucker, he revolutionized film comedy with a straight-faced, fast-paced style of parody.","Jim Abrahams, who with the brothers David and Jerry Zucker surely comprised one of the funniest trios of comedy writers in film history, layering on the yucks in classics like “Airplane!” and “The Naked Gun,” died on Tuesday at his home in Santa Monica, Calif. He was 80.","Along with his fellow filmmakers David and Jerry Zucker, he revolutionized film comedy with a straight-faced, fast-paced style of parody.",Obits,2024-11-28
2024-11-28 00:17:43+00:00,How Will Trump’s Covid Contrarians Handle the Next Pandemic?,President-elect Donald J. Trump’s selections to run the nation’s health agencies are alarming infectious disease experts.,"President-elect Donald J. Trump had already succeeded in rattling the nation’s public health and biomedical establishment by the time he announced on Tuesday that he had picked Dr. Jay Bhattacharya to run the National Institutes of Health. But amid growing fears of a deadly bird flu pandemic, perhaps no one was more rattled than experts in infectious disease.",President-elect Donald J. Trump’s selections to run the nation’s health agencies are alarming infectious disease experts.,Washington,2024-11-28
2024-11-28 00:37:13+00:00,Mexico’s President and Trump Describe a Positive Talk but Differ on Migration Details,The discussion between President Claudia Sheinbaum of Mexico and the president-elect came after Mr. Trump threatened tariffs unless Mexican authorities stopped migrants and drugs from coming across the border.,"Mexico’s president, Claudia Sheinbaum, spoke to President-elect Donald J. Trump on Wednesday afternoon, and both later characterized their discussion as positive while providing different descriptions of what Mexico is doing to stave off a potential tariff war.",The discussion between President Claudia Sheinbaum of Mexico and the president-elect came after Mr. Trump threatened tariffs unless Mexican authorities stopped migrants and drugs from coming across the border.,Washington,2024-11-28
2024-11-28 01:12:30+00:00,E.U. Vessels Surround Anchored Chinese Ship After Baltic Sea Cables Are Severed,Multiple countries are investigating and the authorities in Europe say they have not ruled out sabotage. But U.S. intelligence officials have assessed that the cables were not cut deliberately.,"For more than a week, a Chinese commercial ship has apparently been forced to anchor in the Baltic Sea, surrounded and monitored by naval and coast guard vessels from European countries as the authorities attempt to unravel a maritime mystery.",Multiple countries are investigating and the authorities in Europe say they have not ruled out sabotage. But U.S. intelligence officials have assessed that the cables were not cut deliberately.,Foreign,2024-11-28
2024-11-28 01:43:24+00:00,Ohio Governor Signs Bathroom Restrictions for Transgender Students,The state is one of at least a dozen states to set restrictions on bathrooms for transgender students at public schools.,"Transgender students in Ohio, from kindergarten through college, will be prohibited from using bathrooms that align with their gender identity after Gov. Mike DeWine, a Republican, signed a bill on Wednesday imposing the restrictions. Ohio is among at least a dozen states in recent years to adopt laws setting restrictions on bathrooms for transgender students at public schools.",The state is one of at least a dozen states to set restrictions on bathrooms for transgender students at public schools.,National,2024-11-28
2024-11-28 01:52:57+00:00,Mark Zuckerberg Meets With Trump at Mar-a-Lago,"The president-elect has long been critical of Mr. Zuckerberg’s social media platforms, saying they censor conservative viewpoints.","Mark Zuckerberg met on Wednesday with President-elect Donald J. Trump in a rare face-to-face encounter, the latest attempt by the Meta chief executive to establish a positive rapport with Mr. Trump.","The president-elect has long been critical of Mr. Zuckerberg’s social media platforms, saying they censor conservative viewpoints.",Washington,2024-11-28
2024-11-28 01:58:20+00:00,What the Cease-Fire Tells Us About Hezbollah,"Hezbollah has entered a cease-fire with Israel. Ben Hubbard, an international correspondent for The New York Times, explains how 13 months of war left Hezbollah weakened, isolated and desperate for a way to stop the fighting in Lebanon.","Hezbollah has entered a cease-fire with Israel. Ben Hubbard, an international correspondent for The New York Times, explains how 13 months of war left Hezbollah weakened, isolated and desperate for a way to stop the fighting in Lebanon.","Hezbollah has entered a cease-fire with Israel. Ben Hubbard, an international correspondent for The New York Times, explains how 13 months of war left Hezbollah weakened, isolated and desperate for a way to stop the fighting in Lebanon.",,2024-11-28
2024-11-28 02:30:01+00:00,"Corrections: Nov. 28, 2024","Corrections that appeared in print on Thursday, Nov. 28, 2024.","An article on Tuesday about the Democratic Party’s efforts to regain momentum in Southern battleground states, misidentified the college at which Laken Riley was enrolled at the time of her death. She was attending Augusta University, not the University of Georgia.","Corrections that appeared in print on Thursday, Nov. 28, 2024.",Corrections,2024-11-28
2024-11-28 02:31:57+00:00,Syrian Rebel Groups Launch Largest Offensive in Years,"Scores of people were killed after forces opposed to the government of President Bashar al-Assad overtook a Syrian military base, a monitoring group reported.","Syrian opposition forces have launched an offensive in a western Aleppo district that has killed at least 89 people and overtaken a Syrian military base, a monitoring group based in Britain reported on Wednesday.","Scores of people were killed after forces opposed to the government of President Bashar al-Assad overtook a Syrian military base, a monitoring group reported.",Foreign,2024-11-28
2024-11-28 03:00:04+00:00,Pitcher for the Reds,Ricky J. Sirois piles on.,Jump to: Today’s Theme | Tricky Clues,Ricky J. Sirois piles on.,Games,2024-11-28
2024-11-28 03:00:46+00:00,Appeals Court Again Blocks U.S. From Cutting Texas Border Wire Along Rio Grande,The injunction is the second time that the U.S. Court of Appeals for the Fifth Circuit has sided with Texas in a yearlong dispute over barbed wire around the city of Eagle Pass.,"For the second time, a federal appeals court has limited the Biden administration’s authority to cut barbed wire that Texas authorities have erected along the country’s southern border to deter migrants from crossing into the United States.",The injunction is the second time that the U.S. Court of Appeals for the Fifth Circuit has sided with Texas in a yearlong dispute over barbed wire around the city of Eagle Pass.,National,2024-11-28
2024-11-28 04:30:04+00:00,"As Plastic Talks Continue, a Reminder of What We’re All Exposed To","As international talks continue this week, a dozen U.N. officials reveal scientists tracked their exposure to many chemicals found in plastics.","The wristbands look like those you might find at a souvenir shop: bendy loops of silicone, in the color of your choice. But scientists are increasingly using the bands to measure exposure to toxic chemicals present in the air around us and in everyday items we use, including personal care products.","As international talks continue this week, a dozen U.N. officials reveal scientists tracked their exposure to many chemicals found in plastics.",Climate,2024-11-28
2024-11-28 04:59:00+00:00,Quote of the Day: The Race to Build A Sun on Earth,"Quotation of the Day for Thursday, November 28, 2024.","“The Wright brothers, with basically the tools of a bicycle repair shop, could put together the technology that could fly. You can’t quite do that with fusion.”","Quotation of the Day for Thursday, November 28, 2024.",Summary,2024-11-28
2024-11-28 05:01:10+00:00,London’s 850-Year-Old Smithfield Meat Market Is Set to Close,The historic site in Britain’s capital has been a market for centuries. The local authority voted this week to close it.,"For 22 years, John Burt has cut and trimmed steaks, chops and roasts in a butcher shop across the street from Smithfield, the oldest meat market in London. In that time, he said, he has watched the market’s slow decline, from a carnivore’s bustling bazaar to a hulking relic of an earlier London.",The historic site in Britain’s capital has been a market for centuries. The local authority voted this week to close it.,Foreign,2024-11-28
2024-11-28 05:01:13+00:00,These Exams Mean Everything in India. Thieves See a Gold Mine.,"In a country where government jobs are highly coveted, the tests that govern hiring are a lucrative target for criminal gangs.","The call arrived — it was go time. The medical doctor rushed to the airport, bound for a midnight operation hundreds of miles away in western India.","In a country where government jobs are highly coveted, the tests that govern hiring are a lucrative target for criminal gangs.",Foreign,2024-11-28
2024-11-28 05:01:41+00:00,Thursday Briefing,The first day of a truce between Hezbollah and Israel.,"Thousands of civilians began to return to war-ravaged communities around Beirut and in southern Lebanon yesterday, as a U.S.-backed cease-fire between Israel and Hezbollah took tenuous hold after more than 13 months of bloodshed. About one-quarter of Lebanon’s more than five million people had been forced from their homes by the war.",The first day of a truce between Hezbollah and Israel.,NYTNow,2024-11-28
